date,Merck Stock Price
2015-11-20,0.0
2015-11-21,0.0
2015-11-22,0.0
2015-11-23,5.2
2015-11-24,8.200000000000001
2015-11-25,3.0
2015-11-26,0.0
2015-11-27,0.0
2015-11-28,0.0
2015-11-29,0.0
2015-11-30,7.4
2015-12-01,0.0
2015-12-02,9.0
2015-12-03,0.0
2015-12-04,4.5
2015-12-05,0.0
2015-12-06,0.0
2015-12-07,4.68
2015-12-08,3.15
2015-12-09,4.23
2015-12-10,0.0
2015-12-11,8.82
2015-12-12,4.859999999999999
2015-12-13,0.0
2015-12-14,2.52
2015-12-15,3.06
2015-12-16,0.0
2015-12-17,0.0
2015-12-18,0.0
2015-12-19,0.0
2015-12-20,0.0
2015-12-21,0.0
2015-12-22,6.12
2015-12-23,0.0
2015-12-24,0.0
2015-12-25,3.87
2015-12-26,5.67
2015-12-27,0.0
2015-12-28,0.0
2015-12-29,0.0
2015-12-30,5.4
2015-12-31,0.0
2016-01-01,5.6000000000000005
2016-01-02,0.0
2016-01-03,0.0
2016-01-04,0.0
2016-01-05,9.12
2016-01-06,0.0
2016-01-07,11.04
2016-01-08,0.0
2016-01-09,0.0
2016-01-10,3.68
2016-01-11,8.64
2016-01-12,13.6
2016-01-13,16.0
2016-01-14,6.24
2016-01-15,0.0
2016-01-16,0.0
2016-01-17,3.84
2016-01-18,0.0
2016-01-19,10.4
2016-01-20,7.2
2016-01-21,8.0
2016-01-22,13.12
2016-01-23,0.0
2016-01-24,0.0
2016-01-25,10.4
2016-01-26,6.24
2016-01-27,13.28
2016-01-28,5.44
2016-01-29,0.0
2016-01-30,9.92
2016-01-31,0.0
2016-02-01,8.85
2016-02-02,7.8
2016-02-03,15.0
2016-02-04,3.6
2016-02-05,15.0
2016-02-06,14.1
2016-02-07,0.0
2016-02-08,0.0
2016-02-09,0.0
2016-02-10,6.0
2016-02-11,10.5
2016-02-12,5.25
2016-02-13,7.199999999999999
2016-02-14,0.0
2016-02-15,0.0
2016-02-16,11.25
2016-02-17,4.8
2016-02-18,7.199999999999999
2016-02-19,6.0
2016-02-20,0.0
2016-02-21,0.0
2016-02-22,6.15
2016-02-23,0.0
2016-02-24,7.8
2016-02-25,9.6
2016-02-26,5.1
2016-02-27,0.0
2016-02-28,0.0
2016-02-29,7.8
2016-03-01,12.04
2016-03-02,0.0
2016-03-03,6.0200000000000005
2016-03-04,9.94
2016-03-05,0.0
