date,Verizon Stock Price
2015-09-12,15.6
2015-09-13,0.0
2015-09-14,7.92
2015-09-15,21.6
2015-09-16,3.84
2015-09-17,11.52
2015-09-18,5.76
2015-09-19,0.0
2015-09-20,0.0
2015-09-21,4.32
2015-09-22,22.32
2015-09-23,10.08
2015-09-24,6.96
2015-09-25,20.64
2015-09-26,7.439999999999999
2015-09-27,0.0
2015-09-28,6.72
2015-09-29,20.64
2015-09-30,12.48
2015-10-01,4.760000000000001
2015-10-02,5.32
2015-10-03,4.48
2015-10-04,6.720000000000001
2015-10-05,7.56
2015-10-06,5.32
2015-10-07,13.72
2015-10-08,15.96
2015-10-09,22.680000000000003
2015-10-10,0.0
2015-10-11,0.0
2015-10-12,12.6
2015-10-13,13.44
2015-10-14,8.680000000000001
2015-10-15,8.4
2015-10-16,12.04
2015-10-17,6.44
2015-10-18,0.0
2015-10-19,7.56
2015-10-20,22.96
2015-10-21,8.4
2015-10-22,7.840000000000001
2015-10-23,14.560000000000002
2015-10-24,8.120000000000001
2015-10-25,9.24
2015-10-26,6.44
2015-10-27,15.400000000000002
2015-10-28,18.48
2015-10-29,28.000000000000004
2015-10-30,26.320000000000004
2015-10-31,0.0
2015-11-01,0.0
2015-11-02,0.0
2015-11-03,20.0
2015-11-04,15.2
2015-11-05,7.6
2015-11-06,14.0
2015-11-07,0.0
2015-11-08,11.2
2015-11-09,11.2
2015-11-10,8.8
2015-11-11,10.4
2015-11-12,5.6000000000000005
2015-11-13,8.8
2015-11-14,0.0
2015-11-15,0.0
2015-11-16,9.8
2015-11-17,9.8
2015-11-18,12.6
2015-11-19,7.0
2015-11-20,11.4
2015-11-21,6.2
2015-11-22,0.0
2015-11-23,9.4
2015-11-24,6.2
2015-11-25,0.0
2015-11-26,13.6
2015-11-27,0.0
2015-11-28,0.0
2015-11-29,4.6000000000000005
2015-11-30,11.8
2015-12-01,13.75
2015-12-02,14.75
2015-12-03,0.0
2015-12-04,14.0
2015-12-05,0.0
2015-12-06,4.75
2015-12-07,0.0
2015-12-08,14.5
2015-12-09,5.0
2015-12-10,3.75
2015-12-11,11.0
2015-12-12,0.0
2015-12-13,0.0
2015-12-14,4.75
2015-12-15,0.0
2015-12-16,16.0
2015-12-17,6.75
2015-12-18,10.5
2015-12-19,13.5
2015-12-20,7.25
2015-12-21,19.5
2015-12-22,24.75
2015-12-23,25.0
2015-12-24,0.0
2015-12-25,0.0
2015-12-26,5.75
2015-12-27,0.0
2015-12-28,14.75
2015-12-29,13.0
2015-12-30,12.0
2015-12-31,8.0
2016-01-01,5.89
2016-01-02,14.57
2016-01-03,0.0
2016-01-04,20.77
2016-01-05,22.01
2016-01-06,18.6
2016-01-07,30.38
2016-01-08,27.9
2016-01-09,0.0
2016-01-10,9.61
2016-01-11,17.669999999999998
2016-01-12,29.76
2016-01-13,24.18
2016-01-14,16.74
2016-01-15,23.87
2016-01-16,5.89
2016-01-17,10.85
2016-01-18,10.85
2016-01-19,25.11
2016-01-20,8.99
2016-01-21,31.0
2016-01-22,17.05
2016-01-23,9.92
2016-01-24,11.47
