date,stock_name,attention_ticker
2020-11-16,Boeing Stock Price,21.08
2020-11-17,Boeing Stock Price,19.380000000000003
2020-11-18,Boeing Stock Price,34.0
2020-11-19,Boeing Stock Price,23.46
2020-11-20,Boeing Stock Price,20.74
2020-11-21,Boeing Stock Price,6.460000000000001
2020-11-22,Boeing Stock Price,3.4000000000000004
2020-11-23,Boeing Stock Price,15.3
2020-11-24,Boeing Stock Price,25.840000000000003
2020-11-25,Boeing Stock Price,21.42
2020-11-26,Boeing Stock Price,7.48
2020-11-27,Boeing Stock Price,12.24
2020-11-28,Boeing Stock Price,5.44
2020-11-29,Boeing Stock Price,2.3800000000000003
2020-11-30,Boeing Stock Price,15.98
2020-12-01,Boeing Stock Price,22.78
2020-12-02,Boeing Stock Price,21.76
2020-12-03,Boeing Stock Price,34.0
2020-12-04,Boeing Stock Price,28.56
2020-12-05,Boeing Stock Price,8.16
2020-12-06,Boeing Stock Price,2.72
2020-12-07,Boeing Stock Price,26.520000000000003
2020-12-08,Boeing Stock Price,31.62
2020-12-09,Boeing Stock Price,23.46
2020-12-10,Boeing Stock Price,28.9
2020-12-11,Boeing Stock Price,20.74
2020-12-12,Boeing Stock Price,6.800000000000001
2020-12-13,Boeing Stock Price,3.06
2020-12-14,Boeing Stock Price,26.860000000000003
2020-12-15,Boeing Stock Price,22.78
2020-12-16,Boeing Stock Price,23.46
2020-12-17,Boeing Stock Price,21.76
2020-12-18,Boeing Stock Price,20.4
2020-12-19,Boeing Stock Price,5.44
2020-12-20,Boeing Stock Price,3.06
2020-12-21,Boeing Stock Price,21.42
2020-12-22,Boeing Stock Price,21.08
2020-12-23,Boeing Stock Price,21.08
2020-12-24,Boeing Stock Price,16.66
2020-12-25,Boeing Stock Price,3.74
2020-12-26,Boeing Stock Price,2.72
2020-12-27,Boeing Stock Price,4.08
2020-12-28,Boeing Stock Price,15.98
2020-12-29,Boeing Stock Price,25.16
2020-12-30,Boeing Stock Price,20.4
2020-12-31,Boeing Stock Price,18.700000000000003
2021-01-01,Boeing Stock Price,5.6000000000000005
2021-01-02,Boeing Stock Price,5.040000000000001
2021-01-03,Boeing Stock Price,3.08
2021-01-04,Boeing Stock Price,21.56
2021-01-05,Boeing Stock Price,19.880000000000003
2021-01-06,Boeing Stock Price,18.200000000000003
2021-01-07,Boeing Stock Price,20.160000000000004
2021-01-08,Boeing Stock Price,19.880000000000003
2021-01-09,Boeing Stock Price,10.36
2021-01-10,Boeing Stock Price,5.040000000000001
2021-01-11,Boeing Stock Price,24.08
2021-01-12,Boeing Stock Price,17.64
2021-01-13,Boeing Stock Price,20.160000000000004
2021-01-14,Boeing Stock Price,20.160000000000004
2021-01-15,Boeing Stock Price,13.160000000000002
2021-01-16,Boeing Stock Price,4.48
2021-01-17,Boeing Stock Price,3.640000000000001
2021-01-18,Boeing Stock Price,4.760000000000001
2021-01-19,Boeing Stock Price,16.8
2021-01-20,Boeing Stock Price,15.400000000000002
2021-01-21,Boeing Stock Price,17.92
2021-01-22,Boeing Stock Price,17.92
2021-01-23,Boeing Stock Price,5.880000000000001
2021-01-24,Boeing Stock Price,2.5200000000000005
2021-01-25,Boeing Stock Price,16.520000000000003
2021-01-26,Boeing Stock Price,17.080000000000002
2021-01-27,Boeing Stock Price,28.000000000000004
2021-01-28,Boeing Stock Price,25.480000000000004
2021-01-29,Boeing Stock Price,19.880000000000003
2021-01-30,Boeing Stock Price,6.16
2021-01-31,Boeing Stock Price,4.2
2021-02-01,Boeing Stock Price,16.240000000000002
2021-02-02,Boeing Stock Price,14.560000000000002
2021-02-03,Boeing Stock Price,20.72
2021-02-04,Boeing Stock Price,16.520000000000003
2021-02-05,Boeing Stock Price,16.8
2021-02-06,Boeing Stock Price,5.6000000000000005
2021-02-07,Boeing Stock Price,3.92
2021-02-08,Boeing Stock Price,15.400000000000002
2021-02-09,Boeing Stock Price,16.520000000000003
2021-02-10,Boeing Stock Price,16.240000000000002
2021-02-11,Boeing Stock Price,17.360000000000003
2021-02-12,Boeing Stock Price,12.88
2021-02-13,Boeing Stock Price,3.640000000000001
2021-02-14,Boeing Stock Price,3.92
2021-02-15,Boeing Stock Price,6.44
2021-02-16,Boeing Stock Price,16.8
2021-02-17,Boeing Stock Price,14.840000000000002
2021-02-18,Boeing Stock Price,16.520000000000003
2021-02-19,Boeing Stock Price,15.68
2021-02-20,Boeing Stock Price,6.16
2021-02-21,Boeing Stock Price,4.2
2021-02-22,Boeing Stock Price,28.000000000000004
2021-02-23,Boeing Stock Price,22.680000000000003
2021-02-24,Boeing Stock Price,22.96
2021-02-25,Boeing Stock Price,20.160000000000004
2021-02-26,Boeing Stock Price,17.64
2021-02-27,Boeing Stock Price,6.720000000000001
2021-02-28,Boeing Stock Price,3.640000000000001
2021-03-01,Boeing Stock Price,28.08
2021-03-02,Boeing Stock Price,27.36
2021-03-03,Boeing Stock Price,24.84
2021-03-04,Boeing Stock Price,28.44
2021-03-05,Boeing Stock Price,27.36
2021-03-06,Boeing Stock Price,7.56
2021-03-07,Boeing Stock Price,4.32
2021-03-08,Boeing Stock Price,20.52
2021-03-09,Boeing Stock Price,29.52
2021-03-10,Boeing Stock Price,28.8
2021-03-11,Boeing Stock Price,27.72
2021-03-12,Boeing Stock Price,28.08
2021-03-13,Boeing Stock Price,15.48
2021-03-14,Boeing Stock Price,6.84
2021-03-15,Boeing Stock Price,36.0
2021-03-16,Boeing Stock Price,25.92
2021-03-17,Boeing Stock Price,24.12
2021-03-18,Boeing Stock Price,28.08
2021-03-19,Boeing Stock Price,19.8
2021-03-20,Boeing Stock Price,8.28
2021-03-21,Boeing Stock Price,6.12
2021-03-22,Boeing Stock Price,24.12
