date,Chevron Stock Price
2015-08-20,11.7
2015-08-21,24.18
2015-08-22,11.31
2015-08-23,10.14
2015-08-24,39.0
2015-08-25,32.76
2015-08-26,16.77
2015-08-27,16.38
2015-08-28,20.28
2015-08-29,11.7
2015-08-30,5.07
2015-08-31,14.04
2015-09-01,13.5
2015-09-02,21.6
2015-09-03,22.2
2015-09-04,9.0
2015-09-05,12.6
2015-09-06,7.199999999999999
2015-09-07,0.0
2015-09-08,3.3
2015-09-09,10.5
2015-09-10,30.0
2015-09-11,0.0
2015-09-12,3.3
2015-09-13,0.0
2015-09-14,5.7
2015-09-15,15.6
2015-09-16,8.1
2015-09-17,10.5
2015-09-18,15.9
2015-09-19,12.9
2015-09-20,3.6
2015-09-21,0.0
2015-09-22,10.2
2015-09-23,9.9
2015-09-24,7.199999999999999
2015-09-25,8.4
2015-09-26,0.0
2015-09-27,0.0
2015-09-28,9.3
2015-09-29,15.9
2015-09-30,7.5
2015-10-01,6.0
2015-10-02,10.5
2015-10-03,4.2
2015-10-04,0.0
2015-10-05,12.3
2015-10-06,14.7
2015-10-07,30.0
2015-10-08,17.099999999999998
2015-10-09,16.5
2015-10-10,14.1
2015-10-11,0.0
2015-10-12,16.8
2015-10-13,15.6
2015-10-14,9.3
2015-10-15,5.1
2015-10-16,12.9
2015-10-17,12.3
2015-10-18,8.7
2015-10-19,16.8
2015-10-20,12.0
2015-10-21,17.7
2015-10-22,0.0
2015-10-23,13.8
2015-10-24,9.9
2015-10-25,5.7
2015-10-26,15.6
2015-10-27,9.3
2015-10-28,10.2
2015-10-29,9.0
2015-10-30,5.1
2015-10-31,7.8
2015-11-01,0.0
2015-11-02,12.16
2015-11-03,10.64
2015-11-04,14.44
2015-11-05,15.77
2015-11-06,14.63
2015-11-07,11.02
2015-11-08,5.32
2015-11-09,3.8
2015-11-10,11.78
2015-11-11,13.49
2015-11-12,11.4
2015-11-13,11.21
2015-11-14,6.46
2015-11-15,19.0
2015-11-16,13.68
2015-11-17,10.07
2015-11-18,16.91
2015-11-19,10.07
2015-11-20,8.55
2015-11-21,0.0
2015-11-22,10.64
2015-11-23,0.0
2015-11-24,4.94
2015-11-25,0.0
2015-11-26,6.08
2015-11-27,15.2
2015-11-28,10.26
2015-11-29,5.7
2015-11-30,4.94
2015-12-01,8.75
2015-12-02,0.0
2015-12-03,14.0
2015-12-04,18.25
2015-12-05,0.0
2015-12-06,0.0
2015-12-07,6.0
2015-12-08,12.5
2015-12-09,18.5
2015-12-10,12.0
2015-12-11,17.5
2015-12-12,8.25
2015-12-13,0.0
2015-12-14,9.5
2015-12-15,10.5
2015-12-16,17.0
2015-12-17,13.5
2015-12-18,21.25
2015-12-19,16.75
2015-12-20,0.0
2015-12-21,9.75
2015-12-22,20.0
2015-12-23,6.25
2015-12-24,5.0
2015-12-25,0.0
2015-12-26,8.75
2015-12-27,0.0
2015-12-28,10.75
2015-12-29,25.0
2015-12-30,16.0
2015-12-31,0.0
2016-01-01,13.26
2016-01-02,4.29
2016-01-03,0.0
2016-01-04,9.36
2016-01-05,26.52
2016-01-06,18.33
2016-01-07,26.52
2016-01-08,13.26
2016-01-09,4.68
2016-01-10,4.29
2016-01-11,17.16
2016-01-12,20.28
2016-01-13,22.62
2016-01-14,2.34
2016-01-15,24.96
2016-01-16,10.14
2016-01-17,4.68
2016-01-18,0.0
2016-01-19,17.55
2016-01-20,39.0
2016-01-21,30.03
2016-01-22,23.4
2016-01-23,10.53
2016-01-24,2.34
2016-01-25,11.7
2016-01-26,12.87
2016-01-27,25.35
2016-01-28,24.96
2016-01-29,21.45
2016-01-30,8.97
2016-01-31,4.29
2016-02-01,18.13
2016-02-02,23.68
2016-02-03,37.0
2016-02-04,19.24
2016-02-05,14.06
2016-02-06,14.43
2016-02-07,3.7
2016-02-08,15.17
2016-02-09,21.09
2016-02-10,15.54
2016-02-11,17.39
2016-02-12,24.05
2016-02-13,14.43
2016-02-14,8.879999999999999
2016-02-15,11.84
2016-02-16,21.09
2016-02-17,24.05
2016-02-18,22.57
2016-02-19,19.61
2016-02-20,0.0
2016-02-21,4.07
2016-02-22,15.17
2016-02-23,19.61
2016-02-24,17.759999999999998
2016-02-25,15.54
2016-02-26,15.17
2016-02-27,17.759999999999998
2016-02-28,7.03
2016-02-29,14.8
2016-03-01,11.9
2016-03-02,23.1
2016-03-03,22.05
2016-03-04,10.15
2016-03-05,10.15
2016-03-06,12.6
2016-03-07,19.6
2016-03-08,30.8
2016-03-09,35.0
2016-03-10,21.35
2016-03-11,18.55
2016-03-12,18.9
2016-03-13,7.35
2016-03-14,18.2
2016-03-15,31.5
2016-03-16,18.55
2016-03-17,24.15
2016-03-18,25.9
2016-03-19,10.85
2016-03-20,0.0
2016-03-21,29.4
2016-03-22,15.05
2016-03-23,24.15
2016-03-24,18.2
2016-03-25,13.65
2016-03-26,11.2
2016-03-27,11.2
2016-03-28,7.0
2016-03-29,23.8
2016-03-30,23.1
2016-03-31,11.9
2016-04-01,20.8
2016-04-02,5.76
2016-04-03,0.0
2016-04-04,8.32
2016-04-05,13.76
2016-04-06,10.56
2016-04-07,8.96
2016-04-08,11.84
2016-04-09,4.48
2016-04-10,8.32
2016-04-11,16.32
2016-04-12,23.04
2016-04-13,12.16
2016-04-14,14.4
2016-04-15,10.24
2016-04-16,9.6
2016-04-17,6.08
2016-04-18,6.08
2016-04-19,24.32
2016-04-20,19.2
2016-04-21,23.68
2016-04-22,19.2
2016-04-23,4.16
2016-04-24,4.8
2016-04-25,13.76
2016-04-26,17.6
2016-04-27,32.0
2016-04-28,18.88
2016-04-29,23.04
2016-04-30,13.76
2016-05-01,6.9
2016-05-02,24.9
2016-05-03,22.8
2016-05-04,21.0
2016-05-05,8.7
2016-05-06,18.9
2016-05-07,19.5
2016-05-08,6.0
2016-05-09,21.0
2016-05-10,14.7
2016-05-11,18.6
2016-05-12,22.5
2016-05-13,13.2
2016-05-14,0.0
2016-05-15,0.0
2016-05-16,27.0
