date,AXP
2015-08-27,0.0
2015-08-28,0.0
2015-08-29,0.0
2015-08-30,9.6
2015-08-31,24.0
2015-09-01,0.0
2015-09-02,0.0
2015-09-03,0.0
2015-09-04,0.0
2015-09-05,0.0
2015-09-06,0.0
2015-09-07,0.0
2015-09-08,0.0
2015-09-09,0.0
2015-09-10,0.0
2015-09-11,0.0
2015-09-12,8.17
2015-09-13,19.0
2015-09-14,5.89
2015-09-15,0.0
2015-09-16,0.0
2015-09-17,0.0
2015-09-18,0.0
2015-09-19,0.0
2015-09-20,0.0
2015-09-21,0.0
2015-09-22,0.0
2015-09-23,0.0
2015-09-24,0.0
2015-09-25,0.0
2015-09-26,0.0
2015-09-27,0.0
2015-09-28,15.01
2015-09-29,0.0
2015-09-30,0.0
2015-10-01,0.0
2015-10-02,11.88
2015-10-03,0.0
2015-10-04,0.0
2015-10-05,0.0
2015-10-06,9.18
2015-10-07,0.0
2015-10-08,14.85
2015-10-09,0.0
2015-10-10,0.0
2015-10-11,12.96
2015-10-12,16.740000000000002
2015-10-13,0.0
2015-10-14,0.0
2015-10-15,0.0
2015-10-16,0.0
2015-10-17,0.0
2015-10-18,19.17
2015-10-19,0.0
2015-10-20,8.91
2015-10-21,0.0
2015-10-22,11.34
2015-10-23,8.370000000000001
2015-10-24,0.0
2015-10-25,27.0
2015-10-26,0.0
2015-10-27,0.0
2015-10-28,11.34
2015-10-29,0.0
2015-10-30,0.0
2015-10-31,13.23
2015-11-01,0.0
2015-11-02,7.280000000000001
2015-11-03,0.0
2015-11-04,5.180000000000001
2015-11-05,10.78
2015-11-06,0.0
2015-11-07,0.0
2015-11-08,0.0
2015-11-09,0.0
2015-11-10,0.0
2015-11-11,0.0
2015-11-12,0.0
2015-11-13,4.0600000000000005
2015-11-14,0.0
2015-11-15,0.0
2015-11-16,0.0
2015-11-17,0.0
2015-11-18,0.0
2015-11-19,8.82
2015-11-20,0.0
2015-11-21,0.0
2015-11-22,0.0
2015-11-23,5.460000000000001
2015-11-24,6.16
2015-11-25,0.0
2015-11-26,5.180000000000001
2015-11-27,8.680000000000001
2015-11-28,0.0
2015-11-29,0.0
2015-11-30,14.000000000000002
2015-12-01,3.6
2015-12-02,5.04
2015-12-03,0.0
2015-12-04,0.0
2015-12-05,0.0
2015-12-06,5.04
2015-12-07,6.48
2015-12-08,4.32
2015-12-09,8.64
2015-12-10,24.0
2015-12-11,0.0
2015-12-12,0.0
2015-12-13,0.0
2015-12-14,0.0
2015-12-15,0.0
2015-12-16,0.0
2015-12-17,0.0
2015-12-18,9.36
2015-12-19,0.0
2015-12-20,0.0
2015-12-21,0.0
2015-12-22,0.0
2015-12-23,0.0
2015-12-24,0.0
2015-12-25,12.48
2015-12-26,13.92
2015-12-27,0.0
2015-12-28,0.0
2015-12-29,0.0
2015-12-30,17.28
2015-12-31,0.0
2016-01-01,0.0
2016-01-02,23.92
2016-01-03,0.0
2016-01-04,13.52
2016-01-05,0.0
2016-01-06,0.0
2016-01-07,11.44
2016-01-08,0.0
2016-01-09,0.0
2016-01-10,0.0
2016-01-11,10.66
2016-01-12,0.0
2016-01-13,15.86
2016-01-14,0.0
2016-01-15,20.8
2016-01-16,0.0
2016-01-17,0.0
2016-01-18,0.0
2016-01-19,22.1
2016-01-20,13.52
2016-01-21,26.0
2016-01-22,14.56
2016-01-23,0.0
2016-01-24,0.0
2016-01-25,10.92
2016-01-26,13.78
2016-01-27,7.54
2016-01-28,0.0
2016-01-29,0.0
2016-01-30,0.0
2016-01-31,0.0
2016-02-01,0.0
2016-02-02,0.0
2016-02-03,0.0
2016-02-04,0.0
2016-02-05,21.0
2016-02-06,0.0
2016-02-07,0.0
2016-02-08,0.0
2016-02-09,3.99
2016-02-10,0.0
2016-02-11,0.0
2016-02-12,4.41
2016-02-13,7.35
2016-02-14,0.0
2016-02-15,0.0
2016-02-16,7.77
2016-02-17,0.0
2016-02-18,14.28
2016-02-19,0.0
2016-02-20,9.45
2016-02-21,9.87
2016-02-22,0.0
2016-02-23,0.0
2016-02-24,14.91
2016-02-25,0.0
2016-02-26,0.0
2016-02-27,0.0
2016-02-28,0.0
2016-02-29,4.2
2016-03-01,22.31
2016-03-02,0.0
2016-03-03,9.43
2016-03-04,0.0
2016-03-05,0.0
2016-03-06,0.0
2016-03-07,0.0
2016-03-08,6.44
2016-03-09,0.0
2016-03-10,0.0
2016-03-11,6.21
2016-03-12,0.0
2016-03-13,0.0
2016-03-14,6.67
2016-03-15,0.0
2016-03-16,17.71
2016-03-17,0.0
2016-03-18,15.64
2016-03-19,0.0
2016-03-20,0.0
2016-03-21,12.19
2016-03-22,0.0
2016-03-23,10.58
2016-03-24,0.0
2016-03-25,0.0
2016-03-26,0.0
2016-03-27,0.0
2016-03-28,5.98
2016-03-29,6.44
2016-03-30,23.0
2016-03-31,0.0
2016-04-01,8.97
2016-04-02,0.0
2016-04-03,0.0
2016-04-04,8.58
2016-04-05,7.54
2016-04-06,0.0
2016-04-07,5.2
2016-04-08,0.0
2016-04-09,12.35
2016-04-10,0.0
2016-04-11,6.76
