date,BA
2016-02-20,0.88
2016-02-21,1.76
2016-02-22,1.32
2016-02-23,0.0
2016-02-24,2.12
2016-02-25,1.28
2016-02-26,0.88
2016-02-27,1.28
2016-02-28,0.0
2016-02-29,1.24
2016-03-01,3.0500000000000003
2016-03-02,2.85
2016-03-03,3.6
2016-03-04,4.0
2016-03-05,0.0
2016-03-06,0.0
2016-03-07,2.8000000000000003
2016-03-08,2.2
2016-03-09,2.0500000000000003
2016-03-10,3.5500000000000003
2016-03-11,4.95
2016-03-12,1.15
2016-03-13,0.8500000000000001
2016-03-14,2.25
2016-03-15,1.35
2016-03-16,3.4000000000000004
2016-03-17,4.7
2016-03-18,4.1000000000000005
2016-03-19,1.85
2016-03-20,0.0
2016-03-21,4.55
2016-03-22,1.2000000000000002
2016-03-23,3.5
2016-03-24,1.5
2016-03-25,2.0500000000000003
2016-03-26,3.5500000000000003
2016-03-27,2.15
2016-03-28,4.45
2016-03-29,2.35
2016-03-30,5.0
2016-03-31,4.95
2016-04-01,2.36
2016-04-02,1.08
2016-04-03,0.0
2016-04-04,1.28
2016-04-05,1.44
2016-04-06,4.0
2016-04-07,1.68
2016-04-08,2.64
2016-04-09,0.92
2016-04-10,0.0
2016-04-11,3.36
2016-04-12,1.4
2016-04-13,1.0
2016-04-14,0.88
2016-04-15,2.32
2016-04-16,0.0
2016-04-17,0.0
2016-04-18,1.12
2016-04-19,3.16
2016-04-20,1.72
2016-04-21,0.84
2016-04-22,1.4
2016-04-23,0.0
2016-04-24,1.64
2016-04-25,2.84
2016-04-26,1.4
2016-04-27,3.48
2016-04-28,2.12
2016-04-29,1.72
2016-04-30,1.64
2016-05-01,0.0
2016-05-02,1.05
2016-05-03,1.86
2016-05-04,1.7999999999999998
2016-05-05,0.96
2016-05-06,2.19
2016-05-07,0.0
2016-05-08,0.0
2016-05-09,1.14
2016-05-10,0.63
2016-05-11,0.75
2016-05-12,2.37
2016-05-13,0.0
2016-05-14,0.69
2016-05-15,0.84
2016-05-16,0.0
2016-05-17,1.98
2016-05-18,1.26
2016-05-19,3.0
2016-05-20,2.04
2016-05-21,0.0
2016-05-22,0.0
2016-05-23,2.25
2016-05-24,1.95
2016-05-25,2.25
2016-05-26,2.25
2016-05-27,0.69
2016-05-28,0.0
2016-05-29,0.0
