date,Visa
2015-03-29,41.54
2015-03-30,56.95
2015-03-31,56.95
2015-04-01,62.1
2015-04-02,53.13
2015-04-03,56.58
2015-04-04,44.16
2015-04-05,46.92
2015-04-06,66.92999999999999
2015-04-07,63.48
2015-04-08,64.86
2015-04-09,63.48
2015-04-10,68.30999999999999
2015-04-11,53.13
2015-04-12,54.51
2015-04-13,69.0
2015-04-14,66.92999999999999
2015-04-15,63.48
2015-04-16,60.72
2015-04-17,57.96
2015-04-18,51.74999999999999
2015-04-19,48.99
2015-04-20,60.72
2015-04-21,56.58
2015-04-22,60.72
2015-04-23,56.58
2015-04-24,57.96
2015-04-25,47.61
2015-04-26,46.23
2015-04-27,60.03
2015-04-28,61.41
2015-04-29,57.96
2015-04-30,60.72
2015-05-01,51.68000000000001
2015-05-02,43.52
2015-05-03,42.84
2015-05-04,62.56
2015-05-05,61.2
2015-05-06,58.48
2015-05-07,55.080000000000005
2015-05-08,57.120000000000005
2015-05-09,45.56
2015-05-10,46.24
2015-05-11,68.0
2015-05-12,61.88
2015-05-13,55.760000000000005
2015-05-14,53.040000000000006
2015-05-15,57.120000000000005
2015-05-16,45.56
2015-05-17,44.2
2015-05-18,55.080000000000005
2015-05-19,55.080000000000005
2015-05-20,52.36000000000001
2015-05-21,51.68000000000001
2015-05-22,51.00000000000001
2015-05-23,45.56
2015-05-24,41.48
2015-05-25,48.96
2015-05-26,55.080000000000005
2015-05-27,55.080000000000005
2015-05-28,58.48
2015-05-29,53.040000000000006
2015-05-30,45.56
2015-05-31,44.2
2015-06-01,61.42
2015-06-02,68.08
2015-06-03,65.12
2015-06-04,62.9
2015-06-05,60.68
2015-06-06,54.02
2015-06-07,52.54
2015-06-08,65.12
2015-06-09,74.0
2015-06-10,70.3
2015-06-11,63.64
2015-06-12,64.38
2015-06-13,53.28
2015-06-14,50.32
2015-06-15,67.34
2015-06-16,67.34
2015-06-17,65.86
2015-06-18,70.3
2015-06-19,63.64
2015-06-20,48.84
2015-06-21,52.54
2015-06-22,71.78
2015-06-23,71.78
2015-06-24,66.6
2015-06-25,64.38
2015-06-26,61.42
2015-06-27,52.54
2015-06-28,51.06
2015-06-29,64.38
2015-06-30,68.08
2015-07-01,60.52
2015-07-02,58.48
2015-07-03,51.00000000000001
2015-07-04,43.52
2015-07-05,47.6
2015-07-06,64.60000000000001
2015-07-07,65.28
2015-07-08,64.60000000000001
2015-07-09,61.2
2015-07-10,68.0
2015-07-11,48.96
2015-07-12,46.92
2015-07-13,60.52
2015-07-14,59.16
2015-07-15,59.16
2015-07-16,57.120000000000005
2015-07-17,56.440000000000005
2015-07-18,50.32
2015-07-19,48.96
2015-07-20,63.24
2015-07-21,59.84
2015-07-22,57.120000000000005
2015-07-23,55.760000000000005
2015-07-24,56.440000000000005
2015-07-25,48.96
2015-07-26,45.56
2015-07-27,63.92
2015-07-28,59.84
2015-07-29,53.720000000000006
2015-07-30,55.760000000000005
2015-07-31,55.080000000000005
2015-08-01,41.580000000000005
2015-08-02,37.620000000000005
2015-08-03,48.84
2015-08-04,51.48
2015-08-05,48.18
2015-08-06,50.82
2015-08-07,48.84
