date,HD
2015-06-12,59.28
2015-06-13,72.54
2015-06-14,78.0
2015-06-15,55.38
2015-06-16,56.16
2015-06-17,63.96
2015-06-18,66.3
2015-06-19,63.18
2015-06-20,76.44
2015-06-21,74.88
2015-06-22,64.74000000000001
2015-06-23,67.08
2015-06-24,59.28
2015-06-25,52.260000000000005
2015-06-26,49.92
2015-06-27,59.28
2015-06-28,62.400000000000006
2015-06-29,47.58
2015-06-30,48.36
2015-07-01,47.45
2015-07-02,51.35
2015-07-03,55.25
2015-07-04,54.6
2015-07-05,63.7
2015-07-06,49.4
2015-07-07,48.75
2015-07-08,50.05
2015-07-09,52.0
2015-07-10,48.75
2015-07-11,55.9
2015-07-12,58.5
2015-07-13,50.7
2015-07-14,47.45
2015-07-15,59.15
2015-07-16,46.15
2015-07-17,52.65
2015-07-18,60.45
2015-07-19,65.0
2015-07-20,51.35
2015-07-21,49.4
2015-07-22,48.75
2015-07-23,50.7
2015-07-24,50.7
2015-07-25,61.75
2015-07-26,63.05
2015-07-27,48.75
2015-07-28,50.7
2015-07-29,53.3
2015-07-30,45.5
2015-07-31,53.95
2015-08-01,64.68
2015-08-02,65.34
2015-08-03,52.14
2015-08-04,50.82
2015-08-05,52.8
2015-08-06,54.120000000000005
2015-08-07,51.48
2015-08-08,63.36
2015-08-09,55.440000000000005
2015-08-10,50.16
2015-08-11,58.080000000000005
2015-08-12,46.86
2015-08-13,48.84
2015-08-14,54.78
2015-08-15,62.7
2015-08-16,66.0
2015-08-17,54.120000000000005
2015-08-18,54.78
2015-08-19,50.16
2015-08-20,49.5
2015-08-21,49.5
2015-08-22,61.38
2015-08-23,62.7
2015-08-24,52.14
2015-08-25,52.14
2015-08-26,48.84
2015-08-27,49.5
2015-08-28,54.78
2015-08-29,59.400000000000006
2015-08-30,64.02
2015-08-31,48.84
2015-09-01,49.77
2015-09-02,47.25
2015-09-03,51.66
2015-09-04,52.92
2015-09-05,61.74
2015-09-06,61.74
2015-09-07,62.37
2015-09-08,52.92
2015-09-09,46.62
2015-09-10,49.77
2015-09-11,50.4
2015-09-12,62.37
2015-09-13,58.59
2015-09-14,46.62
2015-09-15,47.88
2015-09-16,47.25
2015-09-17,50.4
2015-09-18,54.81
2015-09-19,57.96
2015-09-20,63.0
2015-09-21,46.62
2015-09-22,51.03
2015-09-23,46.62
2015-09-24,51.66
2015-09-25,52.29
2015-09-26,59.85
2015-09-27,62.37
2015-09-28,47.88
2015-09-29,48.51
2015-09-30,47.88
2015-10-01,39.65
2015-10-02,46.15
2015-10-03,48.1
2015-10-04,53.95
2015-10-05,42.9
2015-10-06,42.25
2015-10-07,41.6
2015-10-08,45.5
2015-10-09,47.45
2015-10-10,48.1
2015-10-11,53.3
